text,labels,risk_level
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,low
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,high
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,high
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,low
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,high
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,high
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,low
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,low
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,low
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,low
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,high
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,low
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications.,bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,low
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,low
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
Elderly patient probably confused and cannot provide reliable medical history.,bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,low
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,high
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,high
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,low
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,low
Elderly patient probably confused and cannot provide reliable medical history.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,high
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,high
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
Elderly patient probably confused and cannot provide reliable medical history.,bias,high
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,high
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,low
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
Elderly patient probably confused and cannot provide reliable medical history.,bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,low
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,low
Elderly patient probably confused and cannot provide reliable medical history.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,low
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,low
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications.,bias,low
Homeless patient seeking medical care primarily for shelter and food access.,bias,low
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,low
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,low
Immigrant patient may be lying about symptoms to extend stay in country.,bias,low
